	precision	recall	f1-score	support
ARG0	0.807627593942793	0.8318890814558059	0.819578827546955	1731.0
ARG1	0.7595613048368954	0.8349304482225657	0.7954645854807834	3235.0
ARG1-DSP	0.0	0.0	0.0	4.0
ARG2	0.6395851339671564	0.6566104702750666	0.647985989492119	1127.0
ARG3	0.0	0.0	0.0	74.0
ARG4	0.0	0.0	0.0	56.0
ARG5	0.0	0.0	0.0	1.0
ARGA	0.0	0.0	0.0	2.0
ARGM-ADJ	0.6523605150214592	0.6666666666666666	0.6594360086767896	228.0
ARGM-ADV	0.5980629539951574	0.49798387096774194	0.5434543454345434	496.0
ARGM-CAU	0.0	0.0	0.0	46.0
ARGM-COM	0.0	0.0	0.0	13.0
ARGM-CXN	0.0	0.0	0.0	12.0
ARGM-DIR	0.4411764705882353	0.3191489361702128	0.37037037037037035	47.0
ARGM-DIS	0.7414965986394558	0.5989010989010989	0.662613981762918	182.0
ARGM-EXT	0.7934782608695652	0.6952380952380952	0.7411167512690355	105.0
ARGM-GOL	0.0	0.0	0.0	24.0
ARGM-LOC	0.49767441860465117	0.5169082125603864	0.5071090047393365	207.0
ARGM-LVB	0.7288135593220338	0.6231884057971014	0.671875	69.0
ARGM-MNR	0.5257731958762887	0.34459459459459457	0.4163265306122449	148.0
ARGM-MOD	0.875	0.9660633484162896	0.9182795698924732	442.0
ARGM-NEG	0.8583333333333333	0.9537037037037037	0.9035087719298246	216.0
ARGM-PRD	0.0	0.0	0.0	44.0
ARGM-PRP	0.5714285714285714	0.32	0.41025641025641024	75.0
ARGM-PRR	0.0	0.0	0.0	69.0
ARGM-TMP	0.7702448210922788	0.756007393715342	0.7630597014925373	541.0
C-ARG0	0.0	0.0	0.0	3.0
C-ARG1	0.0	0.0	0.0	52.0
C-ARG1-DSP	0.0	0.0	0.0	1.0
C-ARG2	0.0	0.0	0.0	7.0
C-ARG3	0.0	0.0	0.0	2.0
C-ARGM-CXN	0.0	0.0	0.0	5.0
C-ARGM-LOC	0.0	0.0	0.0	1.0
C-V	0.0	0.0	0.0	15.0
O	0.9826809559287065	0.9820168606249428	0.9823487960400804	87304.0
R-ARG0	0.8028169014084507	0.8507462686567164	0.8260869565217391	67.0
R-ARG1	0.660377358490566	0.6730769230769231	0.6666666666666666	52.0
R-ARG2	0.0	0.0	0.0	1.0
R-ARGM-ADV	0.0	0.0	0.0	1.0
R-ARGM-DIR	0.0	0.0	0.0	1.0
R-ARGM-LOC	0.0	0.0	0.0	9.0
R-ARGM-MNR	0.0	0.0	0.0	8.0
R-ARGM-TMP	0.0	0.0	0.0	2.0
V	0.9326353220071119	0.984978093052368	0.9580923389142567	4793.0
accuracy	0.9583620638704466	0.9583620638704466	0.9583620638704466	0.9583620638704466
macro avg	0.3099801652125616	0.2971057380021732	0.3014461501613428	101518.0
weighted avg	0.9542488557834967	0.9583620638704466	0.9560937360175298	101518.0
